City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sol'-iletsk,51.1631,54.9918,291.27,64,94,2.67,RU,1690239211
84,papatowai,-46.5619,169.4708,282.91,77,79,4.45,NZ,1690239211
85,bela,25.9333,81.9833,304.31,62,99,2.64,IN,1690239212
86,cabo san lucas,22.8909,-109.9124,307.93,70,40,5.14,MX,1690239212
87,campia turzii,46.55,23.8833,293.22,61,43,1.86,RO,1690239212
88,bethel,41.3712,-73.414,301.35,58,0,5.66,US,1690238937
89,baijiantan,45.6333,85.1833,299.42,21,0,3.35,CN,1690239212
90,rudnya,54.947,31.0934,286.98,93,68,1.72,RU,1690239213
91,palmer,42.1584,-72.3287,301.8,47,75,4.63,US,1690239100
92,hilo,19.7297,-155.09,307.19,69,100,5.14,US,1690239002
93,isla vista,34.4133,-119.861,309.4,58,100,3.22,US,1690239213
94,piatykhatky,48.4133,33.7106,290.88,54,9,3.2,UA,1690239214
95,codrington,-38.2667,141.9667,282.19,83,81,2.51,AU,1690239214
96,papao,-17.75,-149.55,303.97,85,5,10.41,PF,1690239214
97,kingston,17.997,-76.7936,305.51,63,20,9.26,JM,1690239214
98,launceston,-41.45,147.1667,279.35,93,100,0.0,AU,1690239214
99,longyearbyen,78.2186,15.6401,283.06,76,20,5.66,SJ,1690239215
100,bac lieu,9.285,105.7244,298.68,89,91,3.5,VN,1690239215
101,kota kinabalu,5.9749,116.0724,299.14,89,20,2.68,MY,1690239215
102,rio grande,-32.035,-52.0986,286.21,94,100,7.73,BR,1690239180
103,alice springs,-23.7,133.8833,275.9,93,0,0.0,AU,1690239215
104,margaret river,-33.95,115.0667,289.87,80,46,8.75,AU,1690239216
105,behshahr,36.6923,53.5526,298.69,73,22,2.81,IR,1690239216
106,tura,25.5198,90.2201,296.48,98,99,2.73,IN,1690239216
107,sainte-rose,16.3324,-61.6979,301.03,89,40,4.12,GP,1690239216
108,st. john's,47.5649,-52.7093,298.81,78,40,7.2,CA,1690239080
109,yebaishou,41.3975,119.6408,295.31,78,70,1.13,CN,1690239217
110,sisimiut,66.9395,-53.6735,281.53,77,63,6.09,GL,1690239217
111,klyuchi,52.2667,79.1667,290.54,60,39,3.82,RU,1690239217
112,hami,42.8,93.45,299.41,26,0,4.27,CN,1690239217
113,la palma,33.8464,-118.0467,313.3,59,20,5.66,US,1690239217
114,vecchiano-nodica,43.7833,10.3844,301.95,88,40,2.06,IT,1690239218
115,preobrazheniye,42.9019,133.9064,295.66,86,85,2.91,RU,1690239218
116,port saint john's,-31.6229,29.5448,286.34,70,14,2.72,ZA,1690239218
117,kodiak,57.79,-152.4072,287.88,67,100,5.14,US,1690239218
118,carnarvon,-24.8667,113.6333,287.93,81,16,7.54,AU,1690239218
119,hermanus,-34.4187,19.2345,278.6,66,0,2.39,ZA,1690239219
120,hadibu,12.65,54.0333,297.95,78,79,9.77,YE,1690239219
121,santa cruz,-17.8,-63.1667,298.85,73,75,3.09,BO,1690239219
122,olonkinbyen,70.9221,-8.7187,278.16,93,100,5.58,SJ,1690239220
123,mitu,1.1983,-70.1733,297.02,89,84,0.63,CO,1690239220
124,mzimba,-11.9,33.6,288.22,64,3,2.87,MW,1690239220
125,scottsbluff,41.8666,-103.6672,312.57,23,0,2.57,US,1690239187
126,aasiaat,68.7098,-52.8699,275.91,98,94,2.3,GL,1690239220
127,hobyo,5.3505,48.5268,298.1,77,52,13.08,SO,1690239221
128,sarkand,45.41,79.9186,294.47,28,0,3.03,KZ,1690239221
129,zhezqazghan,47.7833,67.7667,295.47,33,0,6.0,KZ,1690239221
130,mossel bay,-34.1831,22.146,284.07,67,0,2.28,ZA,1690239221
131,levuka,50.1834,-105.4011,307.05,14,96,3.68,CA,1690239221
132,magadan,59.5667,150.8,292.89,60,9,1.25,RU,1690239222
133,tralee,52.2704,-9.7026,284.54,88,74,1.61,IE,1690239222
134,hawaiian paradise park,19.5933,-154.9731,301.33,82,100,5.14,US,1690239067
135,keflavik,64.0049,-22.5624,285.1,87,100,2.06,IS,1690239222
136,kimbe,-5.5502,150.1429,300.99,68,90,5.57,PG,1690239222
137,puerto baquerizo moreno,-0.9,-89.6,299.7,78,20,4.63,EC,1690239223
138,lubango,-14.9172,13.4925,289.04,36,65,1.27,AO,1690239223
139,angaur state,6.906,134.13,301.17,82,100,6.0,PW,1690239223
140,mundri,-6.9558,111.71,294.95,86,23,2.62,ID,1690239223
141,batangafo,7.3008,18.2833,295.19,96,90,1.7,CF,1690239223
142,hamilton,39.1834,-84.5333,302.37,83,100,6.17,US,1690238994
143,pisco,-13.7,-76.2167,294.18,73,0,6.69,PE,1690239224
144,punta arenas,-53.15,-70.9167,271.21,82,100,0.85,CL,1690239224
145,oranjemund,-28.55,16.4333,285.11,75,100,3.38,NA,1690239224
146,tuxpam de rodriguez cano,20.95,-97.4,298.19,87,100,1.54,MX,1690239224
147,badger,64.8,-147.5333,302.8,48,40,2.06,US,1690239225
148,kavieng,-2.5744,150.7967,300.27,82,100,4.74,PG,1690239225
149,ayr,55.4627,-4.6339,286.14,76,75,4.12,GB,1690239226
150,midelt,32.6852,-4.7451,298.63,36,47,4.2,MA,1690239226
151,mount pearl,47.5166,-52.7813,298.34,78,40,7.2,CA,1690239227
152,capo d'orlando,38.1435,14.7305,307.27,33,0,5.08,IT,1690239227
153,isabela,6.7085,121.9711,300.18,86,92,3.45,PH,1690239227
154,salinopolis,-0.6136,-47.3561,299.41,83,16,4.69,BR,1690239142
155,waingapu,-9.6567,120.2641,295.6,83,62,5.07,ID,1690239227
156,bijrauni,24.9167,77.6333,300.55,79,95,2.65,IN,1690239228
157,at taj,24.2049,23.2857,303.91,17,3,3.8,LY,1690239228
158,zhytkavichy,52.2168,27.8561,289.91,96,100,2.24,BY,1690239228
159,uusikaupunki,60.8004,21.4084,286.84,81,10,1.77,FI,1690239228
160,kem',64.9555,34.5793,282.15,96,85,1.29,RU,1690239229
161,udachny,66.4167,112.4,287.29,87,17,2.93,RU,1690239229
162,port lincoln,-34.7333,135.8667,285.59,77,61,4.51,AU,1690239229
163,thinadhoo,0.5333,72.9333,301.27,78,100,5.25,MV,1690239229
164,cockburn town,21.4612,-71.1419,303.13,66,40,5.14,TC,1690239230
165,pekanbaru,0.5333,101.45,298.33,100,89,1.54,ID,1690239045
166,novodvinsk,64.4165,40.8122,283.07,98,41,1.89,RU,1690239230
167,grand falls-windsor,48.9332,-55.6649,295.48,72,29,3.88,CA,1690239230
168,mil'kovo,55.6078,37.7956,287.88,96,82,2.09,RU,1690239230
169,ponta delgada,37.7333,-25.6667,295.55,83,40,3.09,PT,1690239231
170,tidjikja,18.5564,-11.4271,307.74,35,28,3.65,MR,1690239231
171,kaa-khem,51.6833,94.7333,288.81,67,94,0.63,RU,1690239231
172,parambu,-6.2111,-40.6944,298.06,44,61,2.52,BR,1690239231
173,praia da vitoria,38.7333,-27.0667,297.29,78,75,4.07,PT,1690239231
174,novyy urgal,51.0736,132.5642,291.55,98,100,0.48,RU,1690239232
175,mayahi,13.9553,7.6712,303.83,49,51,5.92,NE,1690239232
